left_speed,left_contrast,right_speed,right_contrast,participant_answer,ref
8.0,0.5,4.0,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,right_ref
16.0,0.5,8.0,0.5,left,right_ref
1.0,0.5,2.0,0.5,right,right_ref
4.0,0.5,2.0,0.5,left,right_ref
1.0,0.5,0.5,0.5,left,left_ref
2.0,0.5,1.3,0.5,left,left_ref
2.0,0.5,1.0,0.5,left,right_ref
8.0,0.5,5.2,0.5,left,left_ref
0.65,0.5,1.0,0.5,right,right_ref
1.85,0.5,1.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,right_ref
0.8,0.5,1.0,0.5,right,right_ref
2.0,0.5,3.7,0.5,right,left_ref
1.6,0.5,2.0,0.5,right,right_ref
8.0,0.5,14.8,0.5,right,left_ref
2.6,0.5,4.0,0.5,right,right_ref
2.0,0.5,3.4,0.5,right,left_ref
8.0,0.5,6.4,0.5,right,left_ref
1.0,0.5,1.7,0.5,right,left_ref
0.95000005,0.5,1.0,0.5,right,right_ref
7.4,0.5,4.0,0.5,left,right_ref
4.0,0.5,3.2,0.5,left,left_ref
8.0,0.5,13.6,0.5,right,left_ref
8.0,0.5,5.2,0.5,left,left_ref
1.0,0.5,1.5500001,0.5,right,left_ref
4.0,0.5,6.8,0.5,right,left_ref
12.400001,0.5,8.0,0.5,left,right_ref
3.8000002,0.5,4.0,0.5,left,right_ref
1.0,0.5,1.1,0.5,right,left_ref
8.0,0.5,6.4,0.5,right,left_ref
2.0,0.5,1.9000001,0.5,left,left_ref
11.200001,0.5,8.0,0.5,left,right_ref
1.4000001,0.5,1.0,0.5,left,right_ref
2.0,0.5,3.1000001,0.5,right,left_ref
4.0,0.5,6.2000003,0.5,right,left_ref
5.2,0.5,8.0,0.5,right,right_ref
10.0,0.5,8.0,0.5,left,right_ref
8.0,0.5,6.4,0.5,left,left_ref
8.8,0.5,8.0,0.5,left,right_ref
2.2,0.5,2.0,0.5,right,right_ref
2.0,0.5,2.8000002,0.5,right,left_ref
3.2,0.5,4.0,0.5,right,right_ref
1.25,0.5,1.0,0.5,right,right_ref
2.0,0.5,1.9000001,0.5,right,left_ref
4.0,0.5,5.6000004,0.5,right,left_ref
1.0,0.5,1.25,0.5,right,left_ref
4.0,0.5,3.8000002,0.5,right,left_ref
7.6000004,0.5,8.0,0.5,right,right_ref
7.6000004,0.5,8.0,0.5,right,right_ref
1.0,0.5,1.1,0.5,right,left_ref
1.0,0.5,1.1,0.5,right,left_ref
1.25,0.5,1.0,0.5,right,right_ref
8.0,0.5,8.8,0.5,right,left_ref
2.5,0.5,2.0,0.5,left,right_ref
4.0,0.5,5.0,0.5,right,left_ref
6.4,0.5,8.0,0.5,left,right_ref
1.6,0.5,2.0,0.5,left,right_ref
8.0,0.5,10.0,0.5,right,left_ref
4.0,0.5,3.2,0.5,left,left_ref
2.2,0.5,2.0,0.5,left,right_ref
1.3,0.5,2.0,0.5,right,right_ref
7.6000004,0.5,8.0,0.5,right,right_ref
4.0,0.5,4.4,0.5,right,left_ref
1.9000001,0.5,2.0,0.5,right,right_ref
4.0,0.5,3.8000002,0.5,left,left_ref
10.0,0.5,8.0,0.5,left,right_ref
1.0,0.5,0.95000005,0.5,left,left_ref
2.0,0.5,1.6,0.5,left,left_ref
8.0,0.5,7.6000004,0.5,left,left_ref
1.6,0.5,2.0,0.5,right,right_ref
2.0,0.5,1.9000001,0.5,right,left_ref
11.200001,0.5,8.0,0.5,left,right_ref
1.0,0.5,1.1,0.5,left,left_ref
8.0,0.5,6.4,0.5,right,left_ref
1.0,0.5,0.8,0.5,left,left_ref
12.400001,0.5,8.0,0.5,left,right_ref
1.3,0.5,2.0,0.5,right,right_ref
2.0,0.5,1.6,0.5,left,left_ref
2.0,0.5,1.0,0.5,left,left_ref
0.95000005,0.5,1.0,0.5,right,right_ref
1.9000001,0.5,2.0,0.5,left,right_ref
2.0,0.5,1.0,0.5,left,left_ref
1.6,0.5,2.0,0.5,right,right_ref
8.0,0.5,7.6000004,0.5,right,left_ref
2.0,0.5,1.0,0.5,left,left_ref
2.0,0.5,1.9000001,0.5,left,left_ref
0.65,0.5,1.0,0.5,right,right_ref
1.1,0.5,1.0,0.5,left,right_ref
4.0,0.5,3.8000002,0.5,left,left_ref
0.5,0.5,1.0,0.5,right,right_ref
8.0,0.5,13.6,0.5,right,left_ref
8.8,0.5,8.0,0.5,left,right_ref
1.0,0.5,1.25,0.5,right,left_ref
0.5,0.5,1.0,0.5,right,right_ref
4.0,0.5,4.4,0.5,left,left_ref
1.0,0.5,2.0,0.5,right,right_ref
13.6,0.5,8.0,0.5,left,right_ref
1.0,0.5,1.4000001,0.5,right,left_ref
3.2,0.5,4.0,0.5,right,right_ref
8.8,0.5,8.0,0.5,right,right_ref
1.0,0.5,0.5,0.5,left,left_ref
3.8000002,0.5,4.0,0.5,left,right_ref
1.0,0.5,1.5500001,0.5,right,left_ref
14.8,0.5,8.0,0.5,left,right_ref
2.2,0.5,2.0,0.5,left,right_ref
2.0,0.5,1.0,0.5,left,left_ref
0.5,0.5,1.0,0.5,right,right_ref
8.0,0.5,10.0,0.5,right,left_ref
1.0,0.5,1.7,0.5,right,left_ref
1.0,0.5,0.5,0.5,left,left_ref
14.8,0.5,8.0,0.5,right,right_ref
1.85,0.5,1.0,0.5,left,right_ref
2.0,0.5,2.5,0.5,right,left_ref
1.0,0.5,0.5,0.5,left,left_ref
2.6,0.5,4.0,0.5,right,right_ref
8.0,0.5,10.0,0.5,right,left_ref
1.0,0.5,2.0,0.5,right,right_ref
4.0,0.5,3.2,0.5,left,left_ref
8.0,0.5,13.6,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,left_ref
2.0,0.5,1.0,0.5,left,right_ref
8.8,0.5,8.0,0.5,right,right_ref
3.8000002,0.5,4.0,0.5,right,right_ref
8.0,0.5,14.8,0.5,right,left_ref
0.5,0.5,1.0,0.5,right,right_ref
2.0,0.5,2.8000002,0.5,right,left_ref
8.0,0.5,10.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,left_ref
2.0,0.5,3.1000001,0.5,right,left_ref
2.0,0.5,1.0,0.5,left,right_ref
1.0,0.5,2.0,0.5,right,right_ref
2.0,0.5,3.4,0.5,right,left_ref
1.0,0.5,2.0,0.5,right,right_ref
1.0,0.5,0.5,0.5,left,left_ref
1.0,0.5,2.0,0.5,right,left_ref
4.0,0.5,4.4,0.5,left,left_ref
3.7,0.5,2.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,left_ref
8.0,0.5,14.8,0.5,right,left_ref
4.0,0.5,3.8000002,0.5,left,left_ref
8.0,0.5,10.0,0.5,right,left_ref
2.0,0.5,1.0,0.5,left,left_ref
16.0,0.5,8.0,0.5,left,right_ref
8.0,0.5,8.8,0.5,right,left_ref
8.0,0.5,16.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,right_ref
1.0,0.5,0.5,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,left_ref
1.0,0.5,2.0,0.5,right,right_ref
8.0,0.5,7.6000004,0.5,left,left_ref
16.0,0.5,8.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,right_ref
8.0,0.5,6.4,0.5,left,left_ref
2.0,0.5,1.0,0.5,left,right_ref
0.5,0.5,1.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,left_ref
4.0,0.5,4.4,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,left_ref
4.0,0.5,5.0,0.5,right,left_ref
2.0,0.5,1.0,0.5,left,right_ref
16.0,0.5,8.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,left_ref
4.0,0.5,5.6000004,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,right_ref
5.2,0.5,8.0,0.5,right,right_ref
8.0,0.5,16.0,0.5,right,left_ref
6.2000003,0.5,4.0,0.5,left,right_ref
1.0,0.5,0.5,0.5,left,left_ref
1.0,0.5,2.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,left_ref
0.5,0.5,1.0,0.5,right,right_ref
4.0,0.5,6.8,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,left_ref
16.0,0.5,8.0,0.5,left,right_ref
2.0,0.5,1.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,left_ref
7.4,0.5,4.0,0.5,left,right_ref
0.5,0.5,1.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,left_ref
8.0,0.5,16.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,left_ref
1.0,0.5,2.0,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,left_ref
4.0,0.5,2.0,0.5,left,left_ref
16.0,0.5,8.0,0.5,left,right_ref
4.0,0.5,8.0,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,left_ref
8.0,0.5,16.0,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,left_ref
1.0,0.5,0.5,0.5,left,left_ref
8.0,0.5,16.0,0.5,right,left_ref
1.0,0.5,2.0,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,left_ref
16.0,0.5,8.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
4.0,0.5,8.0,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,right_ref
1.0,0.5,0.5,0.5,left,left_ref
8.0,0.5,16.0,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,right_ref
16.0,0.5,8.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,left_ref
2.0,0.5,1.0,0.5,left,right_ref
1.0,0.5,0.5,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,right_ref
2.0,0.5,1.0,0.5,left,left_ref
1.0,0.5,0.5,0.5,left,left_ref
16.0,0.5,8.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,left_ref
8.0,0.5,16.0,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,right_ref
2.0,0.5,1.0,0.5,left,right_ref
1.0,0.5,2.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,right_ref
4.0,0.5,8.0,0.5,right,right_ref
1.0,0.5,2.0,0.5,right,right_ref
0.5,0.5,1.0,0.5,right,right_ref
1.0,0.5,2.0,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,left_ref
4.0,0.5,8.0,0.5,right,left_ref
16.0,0.5,8.0,0.5,left,right_ref
1.0,0.5,0.5,0.5,left,left_ref
8.0,0.5,4.0,0.5,left,left_ref
4.0,0.5,2.0,0.5,left,left_ref
2.0,0.5,1.0,0.5,left,right_ref
1.0,0.5,0.5,0.5,left,left_ref
8.0,0.5,4.0,0.5,left,right_ref
2.0,0.5,1.0,0.5,left,right_ref
1.0,0.5,0.5,0.5,left,left_ref
4.0,0.5,2.0,0.5,left,right_ref
1.0,0.5,2.0,0.5,right,left_ref
0.5,0.5,1.0,0.5,right,right_ref
1.0,0.5,2.0,0.5,right,left_ref
1.0,0.5,2.0,0.5,right,right_ref
4.0,0.5,2.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,left_ref
4.0,0.5,2.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
0.5,0.5,1.0,0.5,left,right_ref
4.0,0.5,8.0,0.5,right,left_ref
8.0,0.5,16.0,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,left_ref
4.0,0.5,8.0,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,left_ref
1.0,0.5,2.0,0.5,left,left_ref
16.0,0.5,8.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,left_ref
1.0,0.5,2.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,right_ref
1.3,0.5,2.0,0.5,left,right_ref
1.0,0.5,0.65,0.5,left,left_ref
1.0,0.5,1.7,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,left_ref
1.0,0.5,0.65,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,left_ref
1.6,0.5,2.0,0.5,left,right_ref
1.0,0.5,1.85,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,right_ref
2.0,0.5,1.9000001,0.5,left,left_ref
1.0,0.5,0.8,0.5,left,left_ref
3.7,0.5,2.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,left_ref
8.0,0.5,4.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,left_ref
8.0,0.5,4.0,0.5,left,right_ref
2.0,0.5,1.9000001,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,right_ref
2.0,0.5,4.0,0.5,right,left_ref
1.6,0.5,2.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,left_ref
16.0,0.5,8.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
4.0,0.5,8.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,right_ref
1.85,0.5,1.0,0.5,left,right_ref
0.8,0.5,1.0,0.5,left,right_ref
1.9000001,0.5,2.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,left_ref
16.0,0.5,8.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,left_ref
2.0,0.5,3.7,0.5,right,left_ref
16.0,0.5,8.0,0.5,left,right_ref
2.0,0.5,1.0,0.5,left,right_ref
0.95000005,0.5,1.0,0.5,right,right_ref
1.9000001,0.5,2.0,0.5,left,right_ref
1.0,0.5,1.85,0.5,right,left_ref
0.95000005,0.5,1.0,0.5,right,right_ref
4.0,0.5,2.0,0.5,left,right_ref
4.0,0.5,8.0,0.5,right,left_ref
2.2,0.5,2.0,0.5,left,right_ref
2.0,0.5,1.0,0.5,left,right_ref
0.8,0.5,1.0,0.5,left,right_ref
3.7,0.5,2.0,0.5,left,right_ref
4.0,0.5,8.0,0.5,right,right_ref
2.0,0.5,4.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,right_ref
0.95000005,0.5,1.0,0.5,right,right_ref
2.2,0.5,2.0,0.5,right,right_ref
2.0,0.5,4.0,0.5,right,left_ref
2.5,0.5,2.0,0.5,left,right_ref
1.0,0.5,1.85,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,right_ref
0.95000005,0.5,1.0,0.5,left,right_ref
3.7,0.5,2.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,right_ref
2.5,0.5,2.0,0.5,left,right_ref
2.0,0.5,1.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
1.0,0.5,1.1,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,right_ref
8.0,0.5,16.0,0.5,right,left_ref
2.0,0.5,2.2,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,right_ref
1.85,0.5,1.0,0.5,left,right_ref
1.1,0.5,1.0,0.5,left,right_ref
2.0,0.5,1.9000001,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,right_ref
2.0,0.5,4.0,0.5,right,left_ref
1.0,0.5,2.0,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,left_ref
8.0,0.5,16.0,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,right_ref
4.0,0.5,8.0,0.5,right,left_ref
2.2,0.5,2.0,0.5,left,right_ref
0.95000005,0.5,1.0,0.5,right,right_ref
3.7,0.5,2.0,0.5,left,right_ref
2.2,0.5,2.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,right_ref
4.0,0.5,8.0,0.5,right,left_ref
0.8,0.5,1.0,0.5,right,right_ref
16.0,0.5,8.0,0.5,left,right_ref
4.0,0.5,8.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
0.65,0.5,1.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
8.0,0.5,16.0,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,left_ref
16.0,0.5,8.0,0.5,left,right_ref
2.0,0.5,1.0,0.5,left,right_ref
0.5,0.5,1.0,0.5,right,right_ref
1.9000001,0.5,2.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,left_ref
8.0,0.5,16.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,right_ref
4.0,0.5,8.0,0.5,right,left_ref
8.0,0.5,16.0,0.5,right,left_ref
1.6,0.5,2.0,0.5,right,right_ref
1.0,0.5,2.0,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,left_ref
4.0,0.5,8.0,0.5,right,right_ref
16.0,0.5,8.0,0.5,left,right_ref
4.0,0.5,8.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,left_ref
1.0,0.5,0.5,0.5,left,left_ref
4.0,0.5,8.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,left_ref
2.0,0.5,1.3,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,right_ref
1.0,0.5,2.0,0.5,right,right_ref
0.5,0.5,1.0,0.5,right,right_ref
4.0,0.5,2.0,0.5,left,left_ref
2.0,0.5,1.0,0.5,left,right_ref
4.0,0.5,8.0,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,left_ref
4.0,0.5,8.0,0.5,right,left_ref
1.0,0.5,0.5,0.5,left,left_ref
4.0,0.5,2.0,0.5,left,left_ref
8.0,0.5,4.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
16.0,0.5,8.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,right_ref
1.0,0.5,2.0,0.5,right,left_ref
0.5,0.5,1.0,0.5,right,right_ref
4.0,0.5,8.0,0.5,right,right_ref
8.0,0.5,16.0,0.5,right,left_ref
1.0,0.5,2.0,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,left_ref
0.5,0.5,1.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,right_ref
16.0,0.5,8.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,left_ref
16.0,0.5,8.0,0.5,left,right_ref
4.0,0.5,8.0,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,left_ref
1.0,0.5,2.0,0.5,right,right_ref
8.0,0.5,16.0,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,right_ref
2.0,0.5,4.0,0.5,right,right_ref
0.5,0.5,1.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
4.0,0.5,8.0,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,left_ref
8.0,0.5,16.0,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,left_ref
2.0,0.5,1.0,0.5,left,right_ref
4.0,0.5,8.0,0.5,right,left_ref
0.5,0.5,1.0,0.5,right,right_ref
2.0,0.5,4.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,left_ref
2.0,0.5,1.0,0.5,left,right_ref
1.0,0.5,2.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,left_ref
4.0,0.5,2.0,0.5,left,right_ref
16.0,0.5,8.0,0.5,left,right_ref
2.0,0.5,1.0,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,right_ref
8.0,0.5,4.0,0.5,left,right_ref
0.5,0.5,1.0,0.5,right,right_ref
16.0,0.5,8.0,0.5,left,right_ref
1.0,0.5,2.0,0.5,right,right_ref
4.0,0.5,2.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,right_ref
8.0,0.5,16.0,0.5,right,left_ref
2.0,0.5,1.0,0.5,left,left_ref
4.0,0.5,8.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,left_ref
16.0,0.5,8.0,0.5,left,right_ref
1.0,0.5,0.5,0.5,left,left_ref
1.0,0.5,2.0,0.5,right,right_ref
1.0,0.5,2.0,0.5,right,left_ref
0.5,0.5,1.0,0.5,right,right_ref
2.0,0.5,4.0,0.5,right,left_ref
1.0,0.5,2.0,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,left_ref
1.0,0.5,0.5,0.5,left,left_ref
4.0,0.5,8.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,left_ref
8.0,0.5,4.0,0.5,left,right_ref
8.0,0.5,16.0,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,left_ref
4.0,0.5,2.0,0.5,left,left_ref
8.0,0.5,4.0,0.5,left,right_ref
2.0,0.5,4.0,0.5,right,right_ref
8.0,0.5,16.0,0.5,right,left_ref
2.0,0.5,1.0,0.5,left,right_ref
1.0,0.5,2.0,0.5,right,right_ref
1.0,0.5,0.5,0.5,left,left_ref
4.0,0.5,8.0,0.5,right,right_ref
4.0,0.5,2.0,0.5,left,right_ref
1.0,0.5,2.0,0.5,right,right_ref
1.0,0.5,2.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,left_ref
2.0,0.5,1.0,0.5,left,left_ref
8.0,0.5,4.0,0.5,left,right_ref
1.0,0.5,0.5,0.5,left,left_ref
2.0,0.5,4.0,0.5,right,left_ref
16.0,0.5,8.0,0.5,left,right_ref
8.0,0.5,4.0,0.5,left,left_ref
4.0,0.5,2.0,0.5,left,left_ref
4.0,0.5,8.0,0.5,right,left_ref
1.0,0.5,2.0,0.5,right,right_ref
2.0,0.5,4.0,0.5,right,right_ref
1.0,0.5,2.0,0.5,right,left_ref
4.0,0.5,2.0,0.5,left,right_ref
1.0,0.5,0.5,0.5,left,left_ref
1.0,0.5,2.0,0.5,right,right_ref
2.0,0.5,4.0,0.5,right,left_ref
2.0,0.5,1.0,0.5,left,left_ref
4.0,0.5,8.0,0.5,right,left_ref
2.0,0.5,4.0,0.5,right,left_ref
1.0,0.5,2.0,0.5,right,right_ref
2.0,0.5,1.0,0.5,left,right_ref
4.0,0.5,2.0,0.5,left,left_ref
0.5,0.5,1.0,0.5,right,right_ref
8.0,0.5,16.0,0.5,right,left_ref
4.0,0.5,8.0,0.5,right,right_ref
2.0,0.5,4.0,0.5,right,left_ref
2.0,0.5,1.0,0.5,left,right_ref
16.0,0.5,8.0,0.5,left,right_ref
1.0,0.5,2.0,0.5,right,right_ref
4.0,0.5,8.0,0.5,right,right_ref
8.0,0.5,16.0,0.5,right,left_ref
0.5,0.5,1.0,0.5,right,right_ref
1.0,0.5,2.0,0.5,right,left_ref
8.0,0.5,4.0,0.5,left,left_ref
0.5,0.5,1.0,0.5,right,right_ref
